Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
14/06/2010,128.5,129.97,128.49,128.5,6753000,0,1,105.8736139,107.084775,105.8653747,105.8736139,6753000
15/06/2010,128.93,129.95,128.37,129.79,6652500,0,1,106.2278991,107.0682967,105.7665044,106.9364696,6652500
16/06/2010,128.34,130.68,128.34,130.35,6401000,0,1,105.7417868,107.6697577,105.7417868,107.3978643,6401000
17/06/2010,130.07,131.03,129.86,130.98,5571000,0,1,107.167167,107.9581294,106.9941439,107.9169334,5571000
18/06/2010,131.02,131.25,130.13,130.15,9581400,0,1,107.9498902,108.1393916,107.2166021,107.2330805,9581400
21/06/2010,131.42,131.94,130.22,130.65,6857800,0,1,108.2794578,108.7078958,107.2907548,107.6450401,6857800
22/06/2010,130.37,131.47,129.07,129.3,6030200,0,1,107.4143427,108.3206538,106.3432478,106.5327492,6030200
23/06/2010,129.25,131.47,129.09,130.11,6855800,0,1,106.4915532,108.3206538,106.3597262,107.2001237,6855800
24/06/2010,129.57,129.73,127.7,128.19,5565500,0,1,106.7552074,106.8870344,105.2144785,105.6181989,5565500
25/06/2010,128.34,129.095,127.12,127.12,10420400,0,1,105.7417868,106.3638458,104.7366054,104.7366054,10420400
28/06/2010,127.65,129.47,127.22,128.98,6335100,0,1,105.1732826,106.6728155,104.8189973,106.2690951,6335100
29/06/2010,127.35,128.4,124.12,125.09,9376200,0,1,104.9261068,105.7912219,102.2648479,103.0640495,9376200
30/06/2010,124.83,125.22,123,123.48,8018000,0,1,102.8498305,103.171159,101.3420584,101.7375396,8018000
01/07/2010,123.55,124.21,121.61,122.57,9742100,0,1,101.7952139,102.3390006,100.1968107,100.9877732,9742100
02/07/2010,123.29,123.29,120.61,121.86,6454500,0,1,101.580995,101.580995,99.37289157,100.4027905,6454500
06/07/2010,123.58,124.63,122.17,123.46,6348700,0,1,101.8199315,102.6850467,100.6582055,101.7210612,6348700
07/07/2010,123.47,127.12,123.47,127,7090300,0,1,101.7293004,104.7366054,101.7293004,104.6377351,7090300
08/07/2010,127.37,128.15,126.74,127.97,5439300,0,1,104.9425852,105.5852421,104.4235161,105.4369367,5439300
09/07/2010,127.9,128.2,127.29,127.96,3898000,0,1,105.3792624,105.6264381,104.8766717,105.4286975,3898000
12/07/2010,127.37,128.83,127.16,128.67,4206900,0,1,104.9425852,106.1455072,104.7695622,106.0136801,4206900
13/07/2010,128.97,130.98,128.69,130.48,6687700,0,1,106.2608559,107.9169334,106.0301585,107.5049738,6687700
14/07/2010,129.32,131.6,129.14,130.72,6607200,0,1,106.5492276,108.4277633,106.4009221,107.7027144,6607200
15/07/2010,129.87,130.92,129.55,130.72,6186800,0,1,107.0023831,107.8674983,106.738729,107.7027144,6186800
16/07/2010,129.96,130.15,127.85,128.03,7002900,0,1,107.0765358,107.2330805,105.3380664,105.4863718,7002900
19/07/2010,128.67,130.38,128.37,129.79,8388600,0,1,106.0136801,107.4225819,105.7665044,106.9364696,8388600
20/07/2010,122.97,126.56,122.93,126.55,16337400,0,1,101.3173408,104.2752107,101.2843841,104.2669715,16337400
21/07/2010,126.44,126.5,124.62,125.27,8615500,0,1,104.1763404,104.2257755,102.6768075,103.2123549,8615500
22/07/2010,126.32,127.78,126.05,127.47,6909000,0,1,104.0774701,105.280392,103.8550119,105.0249771,6909000
23/07/2010,127.3,128.8,127,128.38,5078000,0,1,104.8849108,106.1207896,104.6377351,105.7747436,5078000
